Results of 3 bytes, method: ownmethod
2e478905cf3e8fca0bd798b24fdc6dd01faa801a26d1ecd5f5d73e3a6c86f8a0 , 3738
c1b58dec6a46913dd080d1012b8fdd25681b8e0de9cb291ed6dbb620d34629b9 , 624
14e553774c5d3de78361c978600ee83c5a9beee32fcbc0981bf3af1108499adb , 1963
4ca9feaee16490a901efd3f10941f9b6ba6be9f625906fa5cc39721803fb2bcb , 960
623888ce564657e956e3e162c0da5c9b610875ed61629713755ad4585690b97c , 62
78cf2edd1aded434a083b0666df268d2704b6130da739c7c7c4122d086427e98 , 387
53f0fa0eaac76fc7fb4cc4a05b4b3838a11117fb318640c0d1f8f27b15f68eef , 1516
c202e18f5c7b335dd75a2401edefe7164a59fd7907081b66aae3acd2f55a1a01 , 213
c6f63260522d529e59ee8d4022447a053716ce37348f9fa7b09c35657ca02d39 , 966
a511684f87d5db58a8219cc8d6015f23cbdccb53bac5c209b8a06d2fe3800005 , 5198
baaeef2951c8bf0c7739043a3ec88aa250e8fb2d416a43d21a62558316caae0d , 775
645c2dfa78b734a32d5361572734f14582fbbcccbf140c0b7807e52ca7cb5ee8 , 66
c7521bf50ac7c9edc6b67ee80e46cb145bb880ce24d4c6281048ae55e35148dc , 969
31d3fc363046c3352d7687511b3a5082969ca6cc6585f65e9110498aeb5977c6 , 1198
7949e92e3d4cdc92848d508f08b2c2c8e2b685304049e9427193e9fbc46a2773 , 304
2e9e4b85d7899bd1bb2aaf353dfa0f82afe7c8293a48fdd46b415518a4dd47d2 , 104
e58fa7469b582e583fc462d1cef503f13f5b0003c2a9d721fb16a46080e74e3a , 2669
c3c249d57fe9417fe02d9f2f765f98c7dbf97e0a4c0c2ed8bd19e593460b38e4 , 3934
bc21858390970b604a46903db3db1c2a4eef047aa666c8a75436d48139f47964 , 4382
a090004c17133d444fdf10352313d96c59778cc221c64975215d11409c92c2d1 , 439
523c78df3eef1d640bc9f35f5d02f22da1a71b92aa80bf36fbd42b580487e897 , 417
9825c467f7ab1436cf012541cb98d93f220094470c6642ffd05a3bca175b0d9f , 684
29bc9a557e26ef890353455c715cc31e68ba92f390b54aa35469d5249062999e , 1278
69742f4788d0c3c70f88067914b27614c48bc9caba3be90991883e493cfc61d0 , 214
690f0d31d3ca499e4e50963e6543d40b4b93fe84cba4e1ce7373af8ea190c3d6 , 1295
7a61b6a1ee465ad476ea08a37da0c3cd61f9d964ffab4a4baea8437e518b71dd , 1432
e731446ef47591f6b55a96b7a23b60739098eb272f809e5784830de8861e3bfd , 419
a74b6d8f3ec12d0cda4b223fac95f33f66d950e2f8439f872b8dabac9d94f95f , 1984
8ad128508468040bdfa2d9a83baa3d730447846cdbc41778c3dd6b5447b9345e , 2302
3b09b7682bfb7554ec396fd7877bff4003ba14a9d4095fd28df2065763430d46 , 277
2f35895eb2c08a3f5d0e6ecf7ae76bb90d27a3d9ceee474fcf116a34b0691b49 , 405
4c60a851136dec255fb3d87e4411f95313a54dec46b320223ada62e657d529ff , 2971
97e80250f10160ea81d0137e573ffa2ab1de985389c725d8b5e0bbac681214bb , 963
d44a3bb752324e31f0ee25f6f86f409f0b158a3c1d21b005018fef9c38faf6b1 , 1075
22d029b7bc358ee11421c10a2e8aec13e17d135d2e7e78137ceda2ece3486059 , 817
96e49470306b3e2d6d7bca412c4bd74b744c005279400b3141ff041eb41acd4d , 105
6ef701cf4890501922788d25dbf1ba129acaa810ec8b794f5b8da489645dd3aa , 2060
f318aacc472ba576225307eb2f509cee66c5b13d5ce28375be1c8dda80af397e , 4218
cf0ba91f183faf173fd6cb6261ba72754d7f594bfe55d4e74da1083234bd15ec , 140
f9ed7bbca48f331bc3040669278b39a8eb9ccf83f9d0711b32d7d9bab27bd397 , 627
b5ec9b81d661a6581984ac9d8886c3b6b30012d0bba0fddf303a402d64323117 , 2094
5b2d740f6663110c94dee08864010f90ec4df8c24f4b4b587ce8043d7f1a1caa , 3616
9a522102e924984207f0a3a15761d56884fed0e5657e1881ac8341587eac887c , 1107
9e2e001e044b7c0eca1637b368631cf31b5fd71ca59b8c869787155f78ee83df , 215
2354a19ed59f4907c84bbb07fe05b2ec936cb4a1d5f7b407e8b59b0a090a3d8b , 1221
fbf9f1d73afe7154a187dc47c4de7ce8f4f3fbd9ec83dd3725688de07dccbda4 , 1745
c246688a7fb35cdf52428fcf29c9a015212bd02351f59fd22e359f744b0e0e69 , 562
c07c9fa788dc28b7e7f77c84a0ad7d9a44af063c3ad4322e24654a35fd5cf959 , 1620
5557d173d7b4504d1274052176dc0d031f2a40a80fd2ac7d5689006f16a27efb , 265
4652795bedc4035a0e2e53d66f4825207fd13d7eee93d4fe4cabc45c1eb43bbe , 323
